FID, AREA_Prc, I, J,Original_ISO,New_ISO
42231,8,52,149,1496.62,2976.8904
42516,14,52,150,2218.91,4708.2626
45072,15,43,159,2695.55,5291.2175
45073,5,44,159,4792.5,5552.875
45074,10,45,159,3883.71,5495.339
45356,6,42,160,2380.54,3437.7076
45358,1,44,160,3344.87,3511.4213
45359,75,45,160,3675.61,15918.9025
45360,10,46,160,4506.57,6055.913
45640,6,41,161,595.211,1759.49834
45641,3,42,161,1157.83,1723.0951
45647,2,48,161,2887.73,3229.9754
45926,4,42,162,2401.93,3105.8528
46494,2,40,164,2807.68,3151.5264
46495,2,41,164,3258.42,3593.2516
